FACET_ID,FACET_TYPE,OBSERVATION_VALUE
BLN_STRNG,pattern,[TRUE|FALSE]
STRNG_2,maxLength,2
STRNG_1,maxLength,1
STRNG_10,maxLength,10
STRNG_255,maxLength,255
STRNG_FULL,maxLength,4000
INTGR_NN_NGTV,minValue,0
FLL_YYYY_MM_DD,pattern,([1-9][0-9]{3})\-((02\-((0[1-9])|([1-2][0-9])))|(((04)|(06)|(09)|(11))\-((0[1-9])|([1-2][0-9])|(30)))|(((01)|(03)|(05)|(07)|(08)|(10)|(12))\-((0[1-9])|([1-2][0-9])|(3[0-1]))))
FLL_YYYY_MM_DD,dateFormatDISC,YYYY-MM-DD
STRNG_50,maxLength,50
STRNG_120_ID,maxLength,120
STRNG_ASCII_250,pattern,"[ -~]{1,250}"
STRNG_ASCII_250,maxLength,250
PSTV_2D,decimals,2
PSTV_2D,minValue,0
ISIN_12,pattern,[A-Z][A-Z][A-Z0-9]{9}[0-9]
ISIN_12,maxLength,12
0TO1_6D,minValue,0
0TO1_6D,decimals,6
0TO1_6D,maxValue,1
ALL_2D,decimals,2
ALL_6D,decimals,6
END_MNTH_YYYY_MM_DD,pattern,(.{4}\-((01)|(03)|(05)|(07)|(08)|(10)|(12))\-31)|(.{4}\-02\-((28)|(29)))|(.{4}\-((04)|(06)|(09)|(11))\-30)
END_QRTR_YYYY_MM_DD,pattern,(.{4}\-03\-31)|(.{4}\-06\-30)|(.{4}\-09\-30)|(.{4}\-12\-31)
FLL_YYYYMMDD,pattern,([1-9][0-9]{3})((02((0[1-9])|([1-2][0-9])))|(((04)|(06)|(09)|(11))((0[1-9])|([1-2][0-9])|(30)))|(((01)|(03)|(05)|(07)|(08)|(10)|(12))((0[1-9])|([1-2][0-9])|(3[0-1]))))
FLL_YYYYMMDD,dateFormatDISC,YYYYMMDD
ID_1_TO_5_4D,pattern,[1-5]\d{4}
ID_1_TO_8_3D,pattern,[1-8]\d{3}
ID_1_TO_8_4D,pattern,[1-8]\d{4}
ID_1D_2D,pattern,[1-9]\d{2}
ID_1D_3D,pattern,[1-9]\d{3}
ID_1D_5D,pattern,[1-9]\d{5}
ID_20,pattern,"^(([A-Z]{2}[A-Z0-9]{3})|([A-Z]{2})|([A-Z]{2}\-[A-Z0-9\- ]{1,15}))$"
ID_20,maxLength,20
ID_3,pattern,\d{3}
ID_39_2D,pattern,39\d{2}
ID_4,pattern,\d{4}
ID_5,pattern,\d{5}
ID_5_TO_6,pattern,"\d{5,6}"
ID_6,pattern,\d{6}
ID_7,pattern,\d{7}
ID_7_5D,pattern,7\d{5}
LTN_EXT_255,pattern,[\p{IsBasicLatin}\p{IsLatin-1Supplement}\p{IsLatinExtended-A}\p{IsLatinExtended-B}‘-‟€]+
LTN_EXT_255,maxLength,255
NN_NGTV_2D,minValue,0
NN_NGTV_2D,decimals,2
PSTL_CD_AD,pattern,AD\d{3}
PSTL_CD_AI,pattern,(AI-2640)
PSTL_CD_AM,pattern,(\d{4})|(\d{6})
PSTL_CD_AQ,pattern,(7151)
PSTL_CD_AR,pattern,([A-Z]\d{4}[A-Z]{3})|([A-Z]\d{4})
PSTL_CD_AS,pattern,967\d{2}(-\d{4})?
PSTL_CD_AZ,pattern,(AZ)(\d{4})|(AZ )(\d{4})
PSTL_CD_BB,pattern,BB\d{5}
PSTL_CD_BH,pattern,\d{3}\d?
PSTL_CD_BM,pattern,[A-Z]{2} \d{2}
PSTL_CD_BN,pattern,[A-Z]{2}\d{4}
PSTL_CD_BR,pattern,[0-9]{5}-[0-9]{3}
PSTL_CD_CA,pattern,[A-Z][0-9][A-Z] [0-9][A-Z][0-9]
PSTL_CD_CC,pattern,(6799)
PSTL_CD_CU,pattern,(CP)?\d{5}
PSTL_CD_CX,pattern,(6798)
PSTL_CD_CZ,pattern,[1-7][0-9]{2} [0-9]{2}|[1-7][0-9]{4}
PSTL_CD_FK,pattern,(FIQQ 1ZZ)
PSTL_CD_FM,pattern,9694\d{1}(-\d{4})?
