OBJECT_TYPE,OBJECT_ID,LEGAL_TEXT_ID,ARTICLE,VALID_FROM,VALID_TO
MEMBER,TYP_ACCNTNG_ITM_38,CRR_REGULATION,Regulation - 575/2013 - EN - Capital Requirements Regulation - EUR-Lex,2025-02-12,9999-12-31
MEMBER,TYP_ACCNTNG_ITM_39,CRR_REGULATION,Article 4(1)(86) of Regulation (EU) No 575/2013,2025-02-12,9999-12-31
MEMBER,FRBRNC_MSR_TYP_8,ITS_SUPERVISORY_REPORTING_REGULATION,Regulation (EU) No 680/2014,2025-02-12,9999-12-31
MEMBER,FRBRNC_MSR_TYP_9,ITS_SUPERVISORY_REPORTING_REGULATION,Regulation (EU) No 680/2014,2025-02-12,9999-12-31
MEMBER,FRBRNC_MSR_TYP_10,MIR_STATISTICS_REGULATION,Regulation (EU) No 1072/2013 (ECB/2013/34),2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_CNTRL_2,ESA_REGULATION,Regulation (EU) No 549/2013 (paragraphs 2.35 to 2.39),2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_CNTRL_3,ESA_REGULATION,Regulation (EU) No 549/2013 (paragraphs 2.35 to 2.39),2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_CNTRL_1,ESA_REGULATION,Regulation (EU) No 549/2013 (paragraphs 2.35 to 2.39),2025-02-12,9999-12-31
MEMBER,APPRCH_PRDNTL_PRPSS_67,CRR_REGULATION,Chapter 3 of Regulation (EU) No 575/2013,2025-02-12,9999-12-31
MEMBER,APPRCH_PRDNTL_PRPSS_42,CRR_REGULATION,Chapter 2 of Regulation (EU) No 575/2013,2025-02-12,9999-12-31
MEMBER,APPRCH_PRDNTL_PRPSS_66,CRR_REGULATION,Chapter 3 of Regulation (EU) No 575/2013,2025-02-12,9999-12-31
MEMBER,PRMRY_ASST_CLSS_CVR_PL_a,CRR_REGULATION,Article 129(1)(a) of Regulation (EU) No 575/2013,2025-02-12,9999-12-31
MEMBER,PRMRY_ASST_CLSS_CVR_PL_e,CRR_REGULATION,Article 129(1)(e) of Regulation (EU) No 575/2013,2025-02-12,9999-12-31
MEMBER,PRMRY_ASST_CLSS_CVR_PL_h,CRR_REGULATION,Article 129(1)(a-g). E.g. according to Article 129(1),2025-02-12,9999-12-31
MEMBER,PRMRY_ASST_CLSS_CVR_PL_d,CRR_REGULATION,Article 129(1)(d) of Regulation (EU) No 575/2013,2025-02-12,9999-12-31
MEMBER,PRMRY_ASST_CLSS_CVR_PL_b,CRR_REGULATION,Article 129(1)(b) of Regulation (EU) No 575/2013,2025-02-12,9999-12-31
MEMBER,PRMRY_ASST_CLSS_CVR_PL_f,CRR_REGULATION,Article 129(1)(f) of Regulation (EU) No 575/2013,2025-02-12,9999-12-31
MEMBER,PRMRY_ASST_CLSS_CVR_PL_g,CRR_REGULATION,Article 129(1)(g) of Regulation (EU) No 575/2013,2025-02-12,9999-12-31
MEMBER,PRMRY_ASST_CLSS_CVR_PL_c,CRR_REGULATION,Article 129(1)(c) of Regulation (EU) No 575/2013,2025-02-12,9999-12-31
VARIABLE,IS_OWNR,CRR_REGULATION,Article 4(1)(15)(a) of Regulation EU No 575/2013,2025-02-12,9999-12-31
VARIABLE,EXPSR_VL,CRR_REGULATION,"Regulation (EU) 575/2013, Article 111",2025-02-12,9999-12-31
VARIABLE,EXPSR_CLSS,CRR_REGULATION,"Regulation (EU) 575/2013, Article 112",2025-02-12,9999-12-31
VARIABLE,HQLA_INDCTR,ITS_SUPERVISORY_REPORTING_REGULATION,"Regulation (EU) 680/2014, Annex 17 (Asset encumbrance), part 2, 2.1.2, column 035",2025-02-12,9999-12-31
VARIABLE,APPRCH_PRDNTL_PRPSS,CRR_REGULATION,Article 107 of the CRR,2025-02-12,9999-12-31
VARIABLE,AMNT_DRCGNSD_CPTL_PRPS,CRR_REGULATION,"Articles 109, 243 and 244 CRR",2025-02-12,9999-12-31
VARIABLE,PRMRY_ASST_CLSS_CVR_PL,CRR_REGULATION,Article 129(4) and (5) of Regulation (EU) No 575/2013,2025-02-12,9999-12-31
VARIABLE,NN_PRFRMNG_PRR_FRBRNC_INDCTR,ITS_SUPERVISORY_REPORTING_REGULATION,"Regulation (EU) 680/2014, Annex V, part 2.260",2025-02-12,9999-12-31
MEMBER,PRPS_12,CRR_REGULATION,Article 4(1)(75) of Regulation (EU) No 575/2013,2025-02-12,9999-12-31
MEMBER,TYP_TRNSFR_6,CRR_REGULATION,Article 242(11) of Regulation (EU) No 575/2013,2025-02-12,9999-12-31
MEMBER,TYP_PRTCTN_9,CRR_REGULATION,Regulation (EU) No 575/2013,2025-02-12,9999-12-31
MEMBER,TYP_TRNSFR_1,CRR_REGULATION,Article 242(10) of Regulation (EU) No 575/2013,2025-02-12,9999-12-31
MEMBER,TYP_PRTCTN_3,CRR_REGULATION,Regulation (EU) No 575/2013,2025-02-12,9999-12-31
MEMBER,TYP_PRTCTN_8,CRR_REGULATION,Article 4(1)(75) of Regulation (EU) No 575/2013,2025-02-12,9999-12-31
MEMBER,TYP_PRTCTN_2,CRR_REGULATION,Regulation (EU) No 575/2013,2025-02-12,9999-12-31
MEMBER,TYP_PRTCTN_4,ESA_REGULATION,Annex A to Regulation (EU) No 549/2013,2025-02-12,9999-12-31
MEMBER,TYP_PRTCTN_15,ESA_REGULATION,Paragraph 5.74 of Annex A to Regulation (EU) No 549/2013,2025-02-12,9999-12-31
MEMBER,TYP_PRTCTN_13,CRR_REGULATION,Regulation (EU) No 575/2013,2025-02-12,9999-12-31
MEMBER,TYP_PRTCTN_12,ESA_REGULATION,Paragraph 5.89 of Annex A to Regulation (EU) No 549/2013,2025-02-12,9999-12-31
MEMBER,TYP_PRTCTN_18,ESA_REGULATION,Paragraph 5.139 of Annex A to Regulation (EU) No 549/2013,2025-02-12,9999-12-31
MEMBER,TYP_PRTCTN_40,CRR_REGULATION,Article 197 to 207 of Regulation (EU) No 575/2013,2025-02-12,9999-12-31
MEMBER,TYP_PRTCTN_16,ESA_REGULATION,Paragraph 5.89 of Annex A to Regulation (EU) No 549/2013,2025-02-12,9999-12-31
MEMBER,SRC_ENCMBRNC_5,CRR_REGULATION,Article 99(5) and Article 100 of Regulation (EU) No 575/2013,2025-02-12,9999-12-31
MEMBER,PRDNTL_PRTFL_2,CRR_REGULATION,Article 4(1)(86) of Regulation (EU) No 575/2013,2025-02-12,9999-12-31
MEMBER,TYP_TRNSFR_100,CRR_REGULATION,"CRR, Article (10), CRR, Article (11)",2025-02-12,9999-12-31
MEMBER,SRC_ENCMBRNC_6,CRR_REGULATION,Article 99(5) and Article 100 of Regulation (EU) No 575/2013,2025-02-12,9999-12-31
MEMBER,SRC_ENCMBRNC_9,CRR_REGULATION,Article 99(5) and Article 100 of Regulation (EU) No 575/2013,2025-02-12,9999-12-31
MEMBER,SRC_ENCMBRNC_7,CRR_REGULATION,Article 99(5) and Article 100 of Regulation (EU) No 575/2013,2025-02-12,9999-12-31
MEMBER,PRDNTL_PRTFL_1,CRR_REGULATION,Article 4(1)(86) of Regulation (EU) No 575/2013,2025-02-12,9999-12-31
MEMBER,SRC_ENCMBRNC_8,CRR_REGULATION,Article 99(5) and Article 100 of Regulation (EU) No 575/2013,2025-02-12,9999-12-31
MEMBER,SRC_ENCMBRNC_11,CRR_REGULATION,Article 99(5) and Article 100 of Regulation (EU) No 575/2013.,2025-02-12,9999-12-31
MEMBER,TYP_PRTCTN_VL_3,CRR_REGULATION,Article 4(1)(76) of Regulation (EU) No 575/2013,2025-02-12,9999-12-31
MEMBER,SRC_ENCMBRNC_10,CRR_REGULATION,Article 99(5) and Article 100 of Regulation (EU) No 575/2013.,2025-02-12,9999-12-31
MEMBER,TYP_PRTCTN_VL_2,CRR_REGULATION,Article 4(1)(74) of Regulation (EU) No 575/2013,2025-02-12,9999-12-31
MEMBER,SRC_ENCMBRNC_12,CRR_REGULATION,Article 99(5) and Article 100 of Regulation (EU) No 575/2013,2025-02-12,9999-12-31
MEMBER,TYP_INSTRMNT_80,ESA_REGULATION,Paragraphs 5.134 to 5.135 of Annex A to Regulation (EU) No 549/2013,2025-02-12,9999-12-31
MEMBER,SRC_ENCMBRNC_13,CRR_REGULATION,Article 99(5) and Article 100 of Regulation (EU) No 575/2013,2025-02-12,9999-12-31
MEMBER,TYP_INSTRMNT_112,ESA_REGULATION,"Paragraphs 5.112, 5.113 and 5.114 of Annex A to Regulation (EU) No 549/2013",2025-02-12,9999-12-31
MEMBER,ENTTY_RL_3,FVC_STATS_REGULATION,Article 1(3) of Regulation (EU) No 1075/2013 (ECB/2013/40),2025-02-12,9999-12-31
MEMBER,TYP_INSTRMNT_1004,ESA_REGULATION,"Paragraphs 5.112, 5.113 and 5.114 of Annex A to Regulation (EU) No 549/2013",2025-02-12,9999-12-31
MEMBER,TYP_INSTRMNT_1000,ESA_REGULATION,Paragraph 5.79 of Annex A to Regulation (EU) No 549/2013,2025-02-12,9999-12-31
MEMBER,ACCNTNG_FRMWRK_2,IFRS_REGULATION,Regulation (EC) No 1606/2002,2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S11,ESA_REGULATION,Regulation (EU) No 549/2013 (paragraphs 2.45 to 2.50 of Annex A),2025-02-12,9999-12-31
MEMBER,TYP_INSTRMNT_1022,ESA_REGULATION,Point 5(112) to (138) of Annex A to Regulation (EU) No 549/2013,2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S15,ESA_REGULATION,Regulation (EU) No 549/2013 (paragraphs 2.129 to 2.130 of Annex A,2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S124,ESA_REGULATION,"Subsector S.127, as defined in Regulation (EU) No 549/2013 (paragraphs 2.98 to 2.99 of Annex A)",2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S121,ESA_REGULATION,"Subsector S.121, as defined in Regulation (EU) No 549/2013 (paragraphs 2.72 to 2.74 of Annex A)",2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S123,ESA_REGULATION,"Subsector S.123, as defined in Regulation (EU) No 549/2013 (paragraphs 2.79 to 2.81 of Annex A)",2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S126,ESA_REGULATION,"Subsector S.127, as defined in Regulation (EU) No 549/2013 (paragraphs 2.98 to 2.99 of Annex A)",2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S129,ESA_REGULATION,"Subsector S.129, as defined in Regulation (EU) No 549/2013 (paragraphs 2.105 to 2.110 of Annex A)",2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S127,ESA_REGULATION,"Subsector S.127, as defined in Regulation (EU) No 549/2013 (paragraphs 2.98 to 2.99 of Annex A)",2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S128,ESA_REGULATION,"Subsector S.127, as defined in Regulation (EU) No 549/2013 (paragraphs 2.98 to 2.99 of Annex A)",2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S14_B,ESA_REGULATION,Regulation (EU) No 549/2013,2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S1315,ESA_REGULATION,Regulation (EU) No 549/2013,2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S11_B,ESA_REGULATION,Regulation (EU) No 549/2013,2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S1311,ESA_REGULATION,Regulation (EU) No 549/2013,2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S11_C,ESA_REGULATION,Regulation (EU) No 549/2013,2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S1314,ESA_REGULATION,Regulation (EU) No 549/2013,2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S1313,ESA_REGULATION,"Subsector S.1313, as defined in Regulation (EU) No 549/2013 (paragraph 2.116 of Annex A)",2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S1_EM,ESA_REGULATION,Regulation (EU) No 549/2013,2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S14_A,ESA_REGULATION,"Sector S.14, as defined in Regulation (EU) No 549/2013 (paragraphs 2.118 to 2.121 of Annex A)",2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S1312,ESA_REGULATION,Regulation (EU) No 549/2013,2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S124_B,ESA_REGULATION,Regulation (EU) No 549/2013,2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S125_C,ESA_REGULATION,Regulation (EU) No 549/2013,2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S125_I,ESA_REGULATION,Regulation (EU) No 549/2013,2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S125_B,ESA_REGULATION,Regulation (EU) No 549/2013,2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S124_A,ESA_REGULATION,Regulation (EU) No 549/2013 (paragraphs 2.84 of Annex A),2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S122_A,CRR_REGULATION,Article 4(1)(1) of Regulation (EU) No 575/2013,2025-02-12,9999-12-31
MEMBER,PRPS_1,MFI_BALANCE_SHEET_REGULATION,Regulation (EU) No 1071/2013 (ECB/2013/33),2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S125_D,ESA_REGULATION,Regulation (EU) No 549/2013 (paragraph 2.93 of Annex A),2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S122_B2,ESA_REGULATION,"Subsector S.122, as defined in Regulation (EU) No 549/2013 (paragraphs 2.75 to 2.78 of Annex A)",2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S125_E,EMIR_REGULATION,Point (1) of Article 2 of Regulation (EU) No 648/2012,2025-02-12,9999-12-31
