SEMANTIC_TRANSFORMATION_RULE_ID,TRANSFORMATION_URL,TYPE_OF_TRANSFORMATION,MAINTENANCE_AGENCY_ID,NAME,CODE,DESCRIPTION,ALGORITHM,VALID_FROM,VALID_TO
WUDEN__BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_EIL_1__01_01_1990,,G,ECB,WUDEN__BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_EIL_1__01_01_1990 wuden,WUDEN__BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_EIL_1__01_01_1990,,,1990-01-01,9999-12-31
F_18.00.a_TR,https://gitlab.sofa.dev/bird-subgroups/bird-transformation-rules/-/blob/main/FinRep%20subgroup/final%20generation%20rules/Template%20F_18.00.a_REF.md,G,ECB,F_18.00.a generation rule,F_18.00.a_TR,This generation rule aims to obtain template F_18.00.a from its basic building blocks,,2024-02-28,9999-12-31
F_18.00.b_TR,https://gitlab.sofa.dev/bird-subgroups/bird-transformation-rules/-/blob/main/FinRep%20subgroup/final%20generation%20rules/Template%20F_18.00.b_REF.md,G,ECB,F_18.00.b generation rule,F_18.00.b_TR,This generation rule aims to obtain template F_18.00.b from its basic building blocks,,2024-02-28,9999-12-31
F_18.00.c_TR,https://gitlab.sofa.dev/bird-subgroups/bird-transformation-rules/-/blob/main/FinRep%20subgroup/final%20generation%20rules/Template%20F_18.00.c_REF.md,G,ECB,F_18.00.c generation rule,F_18.00.c_TR,This generation rule aims to obtain template F_18.00.c from its basic building blocks,,2024-02-28,9999-12-31
F_18.00.d_TR,https://gitlab.sofa.dev/bird-subgroups/bird-transformation-rules/-/blob/main/FinRep%20subgroup/final%20generation%20rules/Template%20F_18.00.d_REF.md,G,ECB,F_18.00.d generation rule,F_18.00.d_TR,This generation rule aims to obtain template F_18.00.d from its basic building blocks,,2024-02-28,9999-12-31
F_18.00.e_TR,https://gitlab.sofa.dev/bird-subgroups/bird-transformation-rules/-/blob/main/FinRep%20subgroup/final%20generation%20rules/Template%20F_18.00.e_REF.md,G,ECB,F_18.00.e generation rule,F_18.00.e_TR,This generation rule aims to obtain template F_18.00.e from its basic building blocks,,2024-02-28,9999-12-31
F_18.02.a_TR,https://gitlab.sofa.dev/bird-subgroups/bird-transformation-rules/-/blob/main/FinRep%20subgroup/final%20generation%20rules/Template%20F_18.02.a_REF.md,G,ECB,F_18.02.a generation rule,F_18.02.a_TR,This generation rule aims to obtain template F_18.02.a from its basic building blocks,,2024-02-28,9999-12-31
F_18.02.b_TR,https://gitlab.sofa.dev/bird-subgroups/bird-transformation-rules/-/blob/main/FinRep%20subgroup/final%20generation%20rules/Template%20F_18.02.b_REF.md,G,ECB,F_18.02.b generation rule,F_18.02.b_TR,This generation rule aims to obtain template F_18.02.b from its basic building blocks,,2024-02-28,9999-12-31
F_18.02.c_TR,https://gitlab.sofa.dev/bird-subgroups/bird-transformation-rules/-/blob/main/FinRep%20subgroup/final%20generation%20rules/Template%20F_18.02.c_REF.md,G,ECB,F_18.02.c generation rule,F_18.02.c_TR,This generation rule aims to obtain template F_18.02.c from its basic building blocks,,2024-02-28,9999-12-31
F_19.00.a_TR,https://gitlab.sofa.dev/bird-subgroups/bird-transformation-rules/-/blob/main/FinRep%20subgroup/final%20generation%20rules/Template%20F_19.00.a_REF.md,G,ECB,F_19.00.a generation rule,F_19.00.a_TR,This generation rule aims to obtain template F_19.00.a from its basic building blocks,,2024-02-28,9999-12-31
F_19.00.b_TR,https://gitlab.sofa.dev/bird-subgroups/bird-transformation-rules/-/blob/main/FinRep%20subgroup/final%20generation%20rules/Template%20F_19.00.b_REF.md,G,ECB,F_19.00.b generation rule,F_19.00.b_TR,This generation rule aims to obtain template F_19.00.b from its basic building blocks,,2024-02-28,9999-12-31
F_19.00.c_TR,https://gitlab.sofa.dev/bird-subgroups/bird-transformation-rules/-/blob/main/FinRep%20subgroup/final%20generation%20rules/Template%20F_19.00.c_REF.md,G,ECB,F_19.00.c generation rule,F_19.00.c_TR,This generation rule aims to obtain template F_19.00.c from its basic building blocks,,2024-02-28,9999-12-31
F_19.00.d_TR,https://gitlab.sofa.dev/bird-subgroups/bird-transformation-rules/-/blob/main/FinRep%20subgroup/final%20generation%20rules/Template%20F_19.00.d_REF.md,G,ECB,F_19.00.d generation rule,F_19.00.d_TR,This generation rule aims to obtain template F_19.00.d from its basic building blocks,,2024-02-28,9999-12-31
F_19.00.e_TR,https://gitlab.sofa.dev/bird-subgroups/bird-transformation-rules/-/blob/main/FinRep%20subgroup/final%20generation%20rules/Template%20F_19.00.e_REF.md,G,ECB,F_19.00.e generation rule,F_19.00.e_TR,This generation rule aims to obtain template F_19.00.e from its basic building blocks,,2024-02-28,9999-12-31
F_15.00.a_TR,https://gitlab.sofa.dev/bird-subgroups/bird-transformation-rules/-/blob/main/FinRep%20subgroup/final%20generation%20rules/Template%20F_15.00.a_REF.md,G,ECB,F_15.00.a generation rule,F_15.00.a_TR,This generation rule aims to obtain template F_15.00.a from its basic building blocks,,2024-02-28,9999-12-31
F_15.00.b_TR,https://gitlab.sofa.dev/bird-subgroups/bird-transformation-rules/-/blob/main/FinRep%20subgroup/final%20generation%20rules/Template%20F_15.00.b_REF.md,G,ECB,F_15.00.b generation rule,F_15.00.b_TR,This generation rule aims to obtain template F_15.00.b from its basic building blocks,,2024-02-28,9999-12-31
F_20.01_TR,https://gitlab.sofa.dev/bird-subgroups/bird-transformation-rules/-/blob/main/FinRep%20subgroup/final%20generation%20rules/Template%20F_20.01_REF.md,G,ECB,F_20.01 generation rule,F_20.01_TR,This generation rule aims to obtain template F_20.01 from its basic building blocks,,2024-02-28,9999-12-31
F_20.02_TR,https://gitlab.sofa.dev/bird-subgroups/bird-transformation-rules/-/blob/main/FinRep%20subgroup/final%20generation%20rules/Template%20F_20.02_REF.md,G,ECB,F_20.02 generation rule,F_20.02_TR,This generation rule aims to obtain template F_20.02 from its basic building blocks,,2024-02-28,9999-12-31
WUDEN__BIRD_SCRTY_ENTTY_RL_ASSGNMNT_EIL_1__01_01_1990,,G,ECB,WUDEN__BIRD_SCRTY_ENTTY_RL_ASSGNMNT_EIL_1__01_01_1990 wuden,WUDEN__BIRD_SCRTY_ENTTY_RL_ASSGNMNT_EIL_1__01_01_1990,,,1990-01-01,9999-12-31
WUDEN__BIRD_DBT_SCRTY_ISSD_TRDTNL_SCRTSTN_ASSGNMNT_EIL_1__01_01_1990,,G,ECB,WUDEN__BIRD_DBT_SCRTY_ISSD_TRDTNL_SCRTSTN_ASSGNMNT_EIL_1__01_01_1990 wuden,WUDEN__BIRD_DBT_SCRTY_ISSD_TRDTNL_SCRTSTN_ASSGNMNT_EIL_1__01_01_1990,,,1990-01-01,9999-12-31
WUDEN__BIRD_CRDT_RSK_MTGTN_ASSGNMNT_EIL_1__01_01_1990,,G,ECB,WUDEN__BIRD_CRDT_RSK_MTGTN_ASSGNMNT_EIL_1__01_01_1990 wuden,WUDEN__BIRD_CRDT_RSK_MTGTN_ASSGNMNT_EIL_1__01_01_1990,,,1990-01-01,9999-12-31
WUDEN__BIRD_OTC_DRVTV_HDG_EIL_1__01_01_1990,,G,ECB,WUDEN__BIRD_OTC_DRVTV_HDG_EIL_1__01_01_1990 wuden,WUDEN__BIRD_OTC_DRVTV_HDG_EIL_1__01_01_1990,,,1990-01-01,9999-12-31
WUDEN__BIRD_PRTY_CD_EIL_1__01_01_1990,,G,ECB,WUDEN__BIRD_PRTY_CD_EIL_1__01_01_1990 wuden,WUDEN__BIRD_PRTY_CD_EIL_1__01_01_1990,,,1990-01-01,9999-12-31
WUDEN__BIRD_FNNCL_CNTRCT_EIL_1__01_01_1990,,G,ECB,WUDEN__BIRD_FNNCL_CNTRCT_EIL_1__01_01_1990 wuden,WUDEN__BIRD_FNNCL_CNTRCT_EIL_1__01_01_1990,,,1990-01-01,9999-12-31
WUDEN__BIRD_RTNG_SYSTM_APPLD_LGL_PRSN_EIL_1__01_01_1990,,G,ECB,WUDEN__BIRD_RTNG_SYSTM_APPLD_LGL_PRSN_EIL_1__01_01_1990 wuden,WUDEN__BIRD_RTNG_SYSTM_APPLD_LGL_PRSN_EIL_1__01_01_1990,,,1990-01-01,9999-12-31
WUDEN__BIRD_GRP_KY_MNGMNT_PRSNLL_ASSGNMNT_EIL_1__01_01_1990,,G,ECB,WUDEN__BIRD_GRP_KY_MNGMNT_PRSNLL_ASSGNMNT_EIL_1__01_01_1990 wuden,WUDEN__BIRD_GRP_KY_MNGMNT_PRSNLL_ASSGNMNT_EIL_1__01_01_1990,,,1990-01-01,9999-12-31
WUDEN__BIRD_LN_AND_ADVNC_HDG_EIL_1__01_01_1990,,G,ECB,WUDEN__BIRD_LN_AND_ADVNC_HDG_EIL_1__01_01_1990 wuden,WUDEN__BIRD_LN_AND_ADVNC_HDG_EIL_1__01_01_1990,,,1990-01-01,9999-12-31
WUDEN__BIRD_CVRD_BND_ISSNC_EIL_1__01_01_1990,,G,ECB,WUDEN__BIRD_CVRD_BND_ISSNC_EIL_1__01_01_1990 wuden,WUDEN__BIRD_CVRD_BND_ISSNC_EIL_1__01_01_1990,,,1990-01-01,9999-12-31
WUDEN__BIRD_CLLTRL_GVN_INSTRMNT_DBT_SCRTY_ISSD_ASSGNMNT_EIL_1__01_01_1990,,G,ECB,WUDEN__BIRD_CLLTRL_GVN_INSTRMNT_DBT_SCRTY_ISSD_ASSGNMNT_EIL_1__01_01_1990 wuden,WUDEN__BIRD_CLLTRL_GVN_INSTRMNT_DBT_SCRTY_ISSD_ASSGNMNT_EIL_1__01_01_1990,,,1990-01-01,9999-12-31
WUDEN__BIRD_ASST_PL_DBT_SCRTY_PSTN_ASSGNMNT_EIL_1__01_01_1990,,G,ECB,WUDEN__BIRD_ASST_PL_DBT_SCRTY_PSTN_ASSGNMNT_EIL_1__01_01_1990 wuden,WUDEN__BIRD_ASST_PL_DBT_SCRTY_PSTN_ASSGNMNT_EIL_1__01_01_1990,,,1990-01-01,9999-12-31
